"id";"host";"mount";"pct_util";"time_stamp"
"3";"ecpblapcldns-01";"/";"27";"2016-10-31 14:17:03"
"4";"ecpblapcldns-01";"/dev/shm";"0";"2016-10-31 14:17:03"
"5";"ecpblapcldns-01";"/boot";"9";"2016-10-31 14:17:03"
"6";"ecpblapcldns-01";"/home";"6";"2016-10-31 14:17:03"
"7";"ecpblapcldns-01";"/opt";"1";"2016-10-31 14:17:03"
"8";"ecpblapradius-3";"/";"17";"2016-10-31 14:17:03"
"9";"ecpblapradius-3";"/dev/shm";"0";"2016-10-31 14:17:03"
"10";"ecpblapradius-3";"/boot";"9";"2016-10-31 14:17:03"
"11";"ecpblapradius-1";"/";"23";"2016-10-31 14:17:03"
"12";"ecpblapradius-1";"/dev/shm";"0";"2016-10-31 14:17:03"
"13";"ecpblapradius-1";"/boot";"9";"2016-10-31 14:17:03"
"14";"ecpalapscripts-1";"/";"87";"2016-09-07 20:32:03"
"15";"ecpalapscripts-1";"/opt2";"43";"2016-09-07 20:32:03"
"16";"ecpalapscripts-1";"/boot";"13";"2016-09-07 20:32:03"
"17";"ecpalapscripts-1";"/dev/shm";"0";"2016-09-07 20:32:03"
"18";"ecpalapscripts-1";"/mnt/bradius_a_log";"9";"2016-09-07 20:32:03"
"19";"ecpalapscripts-1";"/mnt/bradius_b_log";"13";"2016-09-07 20:32:03"
"20";"ecpblapasterisk-01";"/";"22";"2016-10-31 14:17:03"
"21";"ecpblapasterisk-01";"/dev/shm";"0";"2016-10-31 14:17:03"
"22";"ecpblapasterisk-01";"/boot";"7";"2016-10-31 14:17:03"
"23";"ecpblapasterisk-01";"/home";"1";"2016-10-31 14:17:03"
"24";"ecpblapasterisk-01";"/opt";"1";"2016-10-31 14:17:03"
"25";"ecpblapperfdb-1";"/";"14";"2016-09-07 20:32:04"
"26";"ecpblapperfdb-1";"/dev/shm";"14";"2016-09-07 20:32:04"
"27";"ecpblapperfdb-1";"/boot";"9";"2016-09-07 20:32:04"
"28";"ecpblapperfdb-1";"/home";"33";"2016-09-07 20:32:04"
"29";"ecpblapperfdb-1";"/opt";"29";"2016-09-07 20:32:04"
"30";"ecpblapperfdb-1";"/opt/oradata/PERFMET";"76";"2016-09-07 20:32:04"
"31";"ecpblapperfdb-1";"/opt/oradata/backup";"37";"2016-09-07 20:32:04"
"32";"ecpblapperfdb-1";"/opt/oradata/RCAT";"33";"2016-09-07 20:32:04"
"33";"ecpblapperfdb-1";"/opt/oradata/NMS";"37";"2016-09-07 20:32:04"
"34";"ecpblapperfdb-1";"/opt/oradata/logs";"11";"2016-09-07 20:32:04"
"35";"ecpalapnmdhcp-1";"/";"17";"2016-10-31 14:17:04"
"36";"ecpalapnmdhcp-1";"/dev/shm";"0";"2016-10-31 14:17:04"
"37";"ecpalapnmdhcp-1";"/boot";"9";"2016-10-31 14:17:04"
"38";"ecpalapcldns-01";"/";"27";"2016-10-31 14:17:04"
"39";"ecpalapcldns-01";"/dev/shm";"0";"2016-10-31 14:17:04"
"40";"ecpalapcldns-01";"/boot";"7";"2016-10-31 14:17:04"
"41";"ecpalapcldns-01";"/home";"12";"2016-10-31 14:17:04"
"42";"ecpalapcldns-01";"/opt";"1";"2016-10-31 14:17:04"
"43";"ecpalapradius-2";"/";"20";"2016-10-31 14:17:04"
"44";"ecpalapradius-2";"/dev/shm";"0";"2016-10-31 14:17:04"
"45";"ecpalapradius-2";"/boot";"9";"2016-10-31 14:17:04"
"46";"ecpblapradius-2";"/";"16";"2016-10-31 14:17:04"
"47";"ecpblapradius-2";"/dev/shm";"0";"2016-10-31 14:17:04"
"48";"ecpblapradius-2";"/boot";"9";"2016-10-31 14:17:04"
"49";"ecpalapradius-1";"/";"20";"2016-10-31 14:17:04"
"50";"ecpalapradius-1";"/dev/shm";"0";"2016-10-31 14:17:04"
"51";"ecpalapradius-1";"/boot";"9";"2016-10-31 14:17:04"
"52";"ecpalapperfdb-1";"/";"17";"2016-09-07 20:32:05"
"53";"ecpalapperfdb-1";"/dev/shm";"15";"2016-09-07 20:32:05"
"54";"ecpalapperfdb-1";"/boot";"17";"2016-09-07 20:32:05"
"55";"ecpalapperfdb-1";"/home";"61";"2016-09-07 20:32:05"
"56";"ecpalapperfdb-1";"/opt";"51";"2016-09-07 20:32:05"
"57";"ecpalapperfdb-1";"/opt/oradata/NMS";"38";"2016-09-07 20:32:05"
"58";"ecpalapperfdb-1";"/opt/oradata/backup";"63";"2016-09-07 20:32:05"
"59";"ecpalapperfdb-1";"/opt/oradata/PERFMET";"80";"2016-09-07 20:32:05"
