"id";"name";"os_type_id";"is_virtual";"is_monitored"
1;"ecpauaphpovo-01";3;0;1
2;"ecpbuapipwvm-1";2;0;1
3;"ecpbuapavldb-01";3;0;1
4;"ecpauapipwvm-1";2;0;1
5;"ecpbuapipwreports-1";2;0;1
6;"ecpbuapipwupg-1";2;0;1
7;"ecpauapauthdb-01";3;0;1
8;"ecpauapavldb-01";3;0;0
9;"ecpbuaporacle-01";3;0;1
10;"ecpbuapauthdb-01";3;0;1
11;"ecpauapipwem-1";2;0;1
12;"ecpauapipwreports-1";2;0;1
13;"ecpauapipwupg-1";2;0;1
14;"ecpauaporacle-01";3;0;1
15;"ecpbuaphpovo-01";3;0;1
16;"ecpbuapipwem-1";2;0;1
17;"ecpalapchassis-01";1;0;0
18;"ecpalapchassis-02";1;0;0
19;"ecpblapcldns-01";1;0;1
20;"ecpblapradius-3";1;0;1
21;"ecpalapchassis-03";1;0;0
22;"ecpalaphpeva-1";1;0;0
23;"ecpblaphpeva-1";1;0;0
24;"ecpblapradius-1";1;0;1
25;"ecpalapscripts-1";1;0;0
26;"ecpblapasterisk-01";1;0;1
27;"ecpblapchassis-03";1;0;0
28;"ecpalapchassis-05";1;0;0
29;"ecpblapnmdhcp-1";1;0;0
30;"ecpblapchassis-01";1;0;0
31;"ecpalapchassis-04-i02";1;0;0
32;"ecpblapperfdb-1";1;0;0
33;"ecpalapnmdhcp-1";1;0;1
34;"ecpalapcldns-01";1;0;1
35;"ecpalapradius-2";1;0;1
37;"ecpalapchassis-04-i0";1;0;0
38;"ecpblapradius-2";1;0;1
39;"ecpblapchassis-05";1;0;0
40;"ecpbwapavlapp-01";1;0;0
41;"ecpblapchassis-02";1;0;0
42;"ecpblapchassis-04-i01";1;0;0
43;"ecpalapradius-1";1;0;1
44;"ecpalapperfdb-1";1;0;0
45;"ecpalapradius-3";1;0;1
46;"ecpalapasterisk-01";1;0;1
47;"ecpblapchassis-04-i02";1;0;0
48;"ecpalavappscr-1";1;0;0
49;"ecpblavappscr-1";1;0;0
50;"ecpalavnrmdb-1";1;0;0
51;"ecpblavnrmdb-1";1;0;0
52;"ecpalapbtraps-1";1;0;1
53;"ecpblapbtraps-1";1;0;1
