"id";"name";"os_type_id";"isVirtual";"hasDiskArray";"isMonitored";"isTested"
85;"ECITPA001BLT-01";1;0;1;1;1
86;"ECITPA001WPNM01";2;0;1;1;1
87;"ECITPA001WPNM02";2;0;1;1;1
88;"ECITPA001WPNM03";2;0;1;1;1
89;"ECITPA001WPNM04";2;0;1;1;1
90;"ECITPA001WPNM05";2;0;1;1;1
91;"ECITPA001WPNM06";2;0;1;1;1
92;"ECITPA001WPNM07";2;0;1;1;1
93;"ECITPA001WPNM08";2;0;1;1;1
94;"ECITPA001WPNM09";2;0;1;1;1
95;"ECITPA001WPNM10";2;0;1;1;1
96;"ECITPB001BLT-01";1;0;1;1;1
97;"ECITPB001WPNM01";2;0;1;1;1
98;"ECITPB001WPNM02";2;0;1;1;1
99;"ECITPB001WPNM03";2;0;1;1;1
100;"ECITPB001WPNM04";2;0;1;1;1
101;"ECITPB001WPNM05";2;0;1;1;1
102;"ECITPB001WPNM06";2;0;1;1;1
103;"ECITPB001WPNM07";2;0;1;1;1
104;"ECITPB001WPNM09";2;0;1;1;1
105;"ECITPB001WPNM10";2;0;1;1;1
106;"ECPAWAPAMIAPP-1";1;0;1;1;1
107;"ECPAWAPAMIDB-1";1;0;1;1;1
108;"ECPAWAPAMIDB-2";1;0;1;1;1
109;"ECPAWAPAMINM-1";1;0;1;1;1
110;"ECPAWAPAMIPAR-1";1;0;1;1;1
111;"ECPAWAPAMIPOL-1";1;0;1;1;1
112;"ECPAWAPAMIPOL-2";999;0;1;1;1
113;"ECPAWAPAMIWEB-1";1;0;1;1;1
114;"ECPAWAPAVLAPP-0";1;0;1;1;1
115;"ECPAWAPAVLGW-01";1;0;1;1;1
116;"ECPAWAPAVLMAP-0";1;0;1;1;1
117;"ECPAWAPAVLNAS-1";1;0;1;1;1
118;"ECPAWAPAVLRDB-1";2;0;1;1;1
119;"ECPAWAPAVLRDB-2";2;0;1;1;1
120;"ECPAWAPAVLRDB-3";2;0;1;1;1
121;"ECPAWAPAVLRDB-4";2;0;1;1;1
122;"ECPAWAPAVLRLT-1";2;0;1;1;1
123;"ECPAWAPAVLRLT-2";2;0;1;1;1
124;"ECPAWAPAVLRLT-3";2;0;1;1;1
125;"ECPAWAPAVLRLT-4";2;0;1;1;1
126;"ECPAWAPAVLRLT-5";2;0;1;1;1
127;"ECPAWAPAVLRLT-6";2;0;1;1;1
128;"ECPAWAPAVLRLT-7";2;0;1;1;1
129;"ECPAWAPAVLWEB-0";1;0;1;1;1
130;"ECPAWAPCRYS-01";1;0;1;1;1
131;"ECPAWAPDNS-01";2;0;1;1;1
132;"ECPAWAPGLEMAP-1";2;1;1;1;1
133;"ECPAWAPIIS-01";1;0;1;1;1
134;"ECPAWAPIIS-02";1;0;1;1;1
135;"ECPAWAPNTBK-01";2;0;1;1;1
136;"ECPAWAPPLVW-01";2;0;1;1;1
137;"ECPAWAPREMDY-01";1;0;1;1;1
138;"ECPAWAPVCENTR-1";2;0;1;1;1
139;"ECPAWAPWDS-01";1;0;1;1;1
140;"ECPAWAVEPO-1";2;1;1;1;1
141;"ECPAWAVNRMWEB-1";2;1;1;1;1
142;"ECPAWAVPORT-1";2;1;1;1;1
143;"ECPAWAVTRMSVR-1";2;1;1;1;1
144;"ECPBWAPAMIAPP-1";1;0;1;1;1
145;"ECPBWAPAMIDB-1";1;0;1;1;1
146;"ECPBWAPAMIDB-2";1;0;1;1;1
147;"ECPBWAPAMINM-1";1;0;1;1;1
148;"ECPBWAPAMIPAR-1";1;0;1;1;1
149;"ECPBWAPAMIPOL-1";1;0;1;1;1
150;"ECPBWAPAMIPOL-2";1;0;1;1;1
151;"ECPBWAPAMIWEB-1";1;0;1;1;1
152;"ECPBWAPAVLAPP-0";1;0;1;1;1
153;"ECPBWAPAVLMAP-0";1;0;1;1;1
154;"ECPBWAPAVLNAS-1";1;0;1;1;1
155;"ECPBWAPAVLWEB-0";1;0;1;1;1
156;"ECPBWAPCRYS-01";1;0;1;1;1
157;"ECPBWAPDNS-01";1;0;1;1;1
158;"ECPBWAPHYPV-01";2;0;1;1;1
159;"ECPBWAPHYPV-02";2;0;1;1;1
160;"ECPBWAPIIS-01";1;0;1;1;1
161;"ECPBWAPIIS-02";1;0;1;1;1
162;"ECPBWAPNTBK-01";2;0;1;1;1
163;"ECPBWAPPLVW-01";2;0;1;1;1
164;"ECPBWAPREMDY-01";1;0;1;1;1
165;"ECPBWAPVCENTR-1";2;0;1;1;1
166;"ECPBWAPVIDKS-01";2;0;1;1;1
167;"ECPBWAPVIDKS-02";2;0;1;1;1
168;"ECPBWAPVIDKS-03";2;0;1;1;1
169;"ECPBWAPVIDKS-04";2;0;1;1;1
170;"ECPBWAPVIDKS-05";2;0;1;1;1
171;"ECPBWAPVIDKS-06";2;0;1;1;1
172;"ECPBWAPVIDKS-07";2;0;1;1;1
173;"ECPBWAPVIDKS-08";2;0;1;1;1
174;"ECPBWAPVIDKS-09";2;0;1;1;1
175;"ECPBWAPVIDKS-10";2;0;1;1;1
176;"ECPBWAPVIDKS-11";2;0;1;1;1
177;"ECPBWAPVIDVS-01";2;0;1;1;1
178;"ECPBWAVEPO-1";2;1;1;1;1
179;"ECPBWAVNRMWEB-1";2;1;1;1;1
180;"ECPBWAVPORT-1";2;1;1;1;1
181;"ECPBWAVTRMSVR-1";2;1;1;1;1
182;"";0;0;0;0;0
